web-scraper-order,web-scraper-start-url,discussion_subentries
"1581151650-68","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","The system proposed in this paper implies a great user involvement in order to function.  But will the user actually be willing to get involved in the process?
In other words,  the system relies on the active and direct action of its users for two of its main features, that is, recognizing the people present in the fitness center at any given moment (people need to actually log into the system every time), and keeping track of user's preferences (people have to explicitly and manually manage they preferences by providing them in the first place and adjusting them afterward). Will the users always participate actively?"
"1581151650-62","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","The first paper introduces a group recommender system on music played in a fitness center and states that most people on average experience three genre changes under the system during their fitness session. However, the authors ignore the issue of the order of the genres in the sequence, which is suggested as an important aspect of group recommender systems by Masthoff (2015).  For example, I can imagine someone who rates classical music on its own with zero (don't mind about the music), to be more negative in their ratings on classical music when the classical music is played directly after Rock music.
Masthoff, J. (2015). Group recommender systems: aggregation, satisfaction and group attributes. In recommender systems handbook (pp. 743-776). Springer, Boston, MA.
  
    Edited by Myrthe Wouters on 4 Feb at 14:05"
"1581151650-87","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","McCarthy and Anagnost in the paper propose to use various metrics by logging details of its members like their preference of each music genre(Preference Database) taking any value between -2 and +2 and finally using a summation formula for aggregating the preference of the group(Group Preference Arbitration Algorithm). [McCarthy et al Pg. 365]
This aggregation formula magnifies and shifts all the preference values onto a scale starting from 0. However, later in the paper, the authors define a new evaluation metric (Average Satisfaction of FX Members) where the original unshifted preference values are used.[McCarthy et al Pg. 369]
The authors claim to have an overall satisfaction rating of 0.64 for the 6 week period following the systems installation[McCarthy et al Pg.369] comparing it to the satisfaction rating before installation being -0.38. However it would be interesting to see how much of that impact is due to the different scales  being used in collection and evaluation.
  
    Edited by Sumeet Zankar on 5 Feb at 11:17"
"1581151650-77","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","Something is interesting in the distribution of people’s musical preferences (figure 5): Mccarthy, J. F., & Anagnost, T. D. (1998). MusicFX. Proceedings of the 1998 ACM Conference on Computer Supported Cooperative Work - CSCW 98.  And is the changes in the preferences by the users, and leads to asking how drastically they can change their preferences towards negative."
"1581151650-88","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","- Normalization could be used for the user rating, so that it refers to the overall rating of the user.
- In contrast to the quadratic average without Misery approach, other methods to calculate the group score could be used as multiplicative strategy for example.
- The effect of the actual genre is not taken into account for the next genre played, so that even an approved genre like Hottest Hits played after Hottest Country could lead to a bigger disapproaval because of the change in tone and rythm."
"1581151650-80","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","Discussion topic:
The researchers conducted a survey after six weeks to find out if people thought the music had improved, stayed the same, or got worse. Is this a good approach? Another approach could be to have to have a group that is unaware the system has been implemented and one control group and measure the general satisfaction with the music. In this way, there is less chance of bias (e.g. Hawthorne-effect).
  
    Edited by Jarno Smit on 4 Feb at 21:42"
"1581151650-61","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","The paper states that it evaluated the results with (1) a poll and (2) looking into the data. My discussion point is based on (1) the poll. 
 
They only evaluated the results of the poll afterwards with 1 questionnaire. Would the results of (1) the poll be better if they implemented a zero measurement (nulmeting) before implementing the system and comparing that with a second questionnaire being done after implementing the system?
 
I can imagine finding it hard to fill in a questionnaire and trying to think back about how something in the past and comparing it with the present."
"1581151650-65","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","Discussion topic:  
MusicFX  chooses which music to play based on the amount of votes  of the people who are at that moment in time in the  fitness center. Does this suppose that an intelligent environment will always respond effectively to the preferences of its inhabitants if it makes choices based on the amount of votes?
(In this case, when it chooses for the option which has the most votes.)"
"1581151650-63","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","Evaluation metrics used: Is the poll an effective method to evaluate the acceptance of the inhabitants after using MusicFX, is the percentage of people participated in the poll representative, are the answers given biased to other factors, is the definition of the active users useful  enough to draw results?"
"1581151650-69","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","MUSICFX, a group preference arbitration system offers a possible solution to maximize the satisfaction level for the selection of the music stations broadcasted in a gym. The paper had shown a positive result of the recommendation system, as it is able to positively influence the preferences of the inhabitants of the gym environment. However, this article does not clarify some aspects that may negatively affect the outcome of the algorithm. The project has been conducted on a given number of inhabitants and a fixed number of genres. This makes it easier that almost every inhabitant provides a preference for every genre. If the algorithm does not have data available for some genres, it may encounter a rating problem. If it is true that the study demonstrates that there is a significant increment in the positive reactions of the inhabitants to the music recommendation system, will this system increase the rating efficacy in the long term? Is the algorithm suitable for a wide genre selection?
  
    Edited by Davide Carnevale on 4 Feb at 17:22"
"1581151650-85","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","In the paper it says they are using the preferences of current inhabitants to recommend the music, but gym is a place where everyday new people join and what if the new member don't have the same music preference or related music preference.
  
    Edited by Irfan Ahmed on 5 Feb at 10:42"
"1581151650-83","https://tilburguniversity.instructure.com/courses/3076/discussion_topics/33715","The music preference is measured for only fitness, but there could be different kind of fitness and therefore different kind of music preferences.  (With Spinning you will likely prefer a higher tempo, then for example when you are stretching)"
